800000,200
6860,10249
45466,26480
10128,16928
37261,26314
30098,4655
10090,20577
11017,5564
11885,4744
35524,7643
27608,18204
14337,11773
20420,13341
7826,13932
15872,21152
6843,5912
40750,16049
41643,15044
50754,19088
14984,20470
49875,18194
27461,23273
8402,9008
36224,24205
50582,15921
42080,13483
50403,31412
35667,19909
32654,9176
21447,6382
35135,8688
21604,24202
44170,27733
6867,20309
54705,9921
40598,14193
40223,24787
19713,26062
16314,6630
56195,17296
34003,11531
6307,7805
26107,26812
31937,6583
49433,14883
53750,27966
43094,11401
39360,11858
32042,5728
7756,15284
36126,27251
41706,12068
7909,12840
7677,8379
13669,21332
42314,16144
8813,8451
20180,9797
20086,20010
35179,20709
12774,21807
56182,15069
14449,17165
57121,24548
55903,23092
28950,11458
20949,5487
43145,26997
42927,28445
4570,13916
27983,15600
32125,7578
19957,15961
17900,23861
5752,19842
35907,27949
28956,27497
36604,4370
49307,13721
7425,11418
6390,18602
27224,14852
45042,27635
11865,4756
15382,15633
20666,14838
39800,12030
24625,23443
9230,11441
52907,7343
12991,13387
38289,4482
50603,18177
6248,8972
29648,7456
55164,15256
20949,23139
23955,24107
54018,5726
17268,27218
29051,19005
31692,5075
9749,5895
15637,26043
34545,15375
26400,11260
22413,7508
22816,16713
51226,4414
14508,23736
25370,23749
20190,5310
55601,10108
45251,26938
37103,25847
45758,12771
49948,14582
7415,15845
32851,24240
21621,8513
50973,14998
19926,26559
21136,7083
34451,4395
51709,27281
8083,11459
50661,16453
37314,18334
34032,14842
41476,12062
40461,18816
62876,18219
38884,20107
23949,7628
37445,27756
40626,6254
20439,23839
28777,10909
37337,20098
8568,11149
53779,20025
37964,20358
33707,26425
14210,17424
60701,9557
36356,11772
40392,4866
35719,14877
29148,27562
42208,4694
27125,24848
55325,21564
43152,26453
54289,21617
14225,4832
18936,19271
22181,9501
22577,18201
15081,3893
20283,5956
50518,7808
37213,5453
40297,15248
26584,15680
8742,12291
42358,30312
50161,18266
27635,6730
27427,12791
18986,19447
40179,10411
20403,5813
21997,27552
21592,10917
54453,15322
54533,20933
27758,11824
21889,25021
22605,12068
54971,18000
19991,27613
7033,20640
6100,10090
12145,7631
56469,20160
28930,22451
20690,14629
3677,7001
49627,16041
51698,7031
33978,26316
22591,7908
36017,21124
36628,5845
42491,13661
54837,14542
38781,11375
45185,27309
28304,4814
40442,25758
40247,22073
14224,23122
14598,22706
28420,26468
33781,25734
10543,5144
54522,22505
20838,7533
34517,20387
27389,21998
28934,17374
56437,8973
41270,11607
27172,13240
42148,21150
26453,26801
48946,16286
8989,21323
54345,28691
22342,6818
39294,13541
6830,18768
48980,16539
6991,14727
39070,4781
28798,21613
13962,12998
14727,10636
54143,12738
40045,12373
21824,15530
20248,7219
16802,26126
61912,6959
43670,27084
15461,21595
8082,21463
37125,17153
42485,18019
9301,9703
18940,26230
52378,15640
38127,6884
25662,24791
14982,27304
18372,26095
33183,11895
42464,19504
22088,15761
28541,27528
26965,16426
29161,25015
41429,27446
53782,4788
46019,5307
55473,17276
43406,30011
50187,5279
22722,15839
37374,16303
28867,2716
28008,23925
27721,14340
42290,21633
27104,12336
61609,18086
25984,13888
26435,24420
51555,12719
8399,4847
53946,9411
14366,12412
41403,20559
56584,14267
13748,26658
16711,27362
52707,15316
56340,11312
16146,8121
36947,19270
39917,17338
20093,4873
53791,23619
19144,7456
49597,14830
7304,6990
8768,20199
8892,8248
15725,12551
31509,6623
55854,5444
22178,26662
40584,22152
24672,23821
58450,19610
55691,5539
51838,18020
22521,14394
35442,24169
50759,7881
35220,18311
48837,6094
54497,15347
61643,7161
22909,12244
49733,16413
13377,26760
33777,13957
46636,26454
10629,10894
37003,5917
54358,12359
41541,4509
20108,20711
38466,20002
38550,13854
53312,12226
21360,21263
6938,5830
32378,7621
25907,27568
29631,7164
26860,24528
38276,28060
37926,20369
9136,7350
6734,16285
45879,13040
34402,11873
36039,21181
27482,15692
52894,6917
42318,24775
57620,11194
17601,26540
34378,13051
11611,6962
32678,6802
34741,22500
53488,21337
19259,17770
15455,8304
15333,17456
15970,26663
54256,16845
19791,18655
41817,12866
15349,27949
38944,14223
9045,14866
37548,4697
15005,24469
26485,21556
14600,15986
40524,6977
46035,6717
46738,18094
40309,11032
51335,11845
42558,6113
14285,4898
3788,7111
28442,25426
49417,6368
10703,28539
22877,6952
46182,27422
38788,27405
13499,21226
22128,9649
7365,6509
59440,21365
13347,22463
51734,29587
6788,25618
50594,5859
54209,18472
22324,31933
53049,4663
21301,12892
20533,15664
23356,23753
41061,25821
15349,18006
14167,7637
52455,16586
46721,26406
14802,16432
55839,8155
40039,21972
35066,13952
52597,8222
21594,17750
28667,23527
28040,21507
22325,26100
11931,4656
29091,27258
37819,25961
13845,4766
40360,4467
34488,13086
44752,25909
20933,9532
55496,21730
14530,8519
7298,8326
39225,17095
7999,18667
13016,22616
14919,26316
21911,18208
20625,25103
37132,20939
56502,12432
17887,7491
29377,20316
27089,16132
8016,19488
20411,15313
38321,24785
25976,12615
41965,6594
63495,5285
43148,26449
40699,24619
27798,20514
63038,11534
55484,8568
6637,12731
34482,5580
41215,7826
33006,28101
26033,17831
14785,26479
14965,15223
38710,5009
44638,8506
12900,27530
7741,15849
15392,12666
63159,31236
20482,27039
13751,10877
9435,21595
22821,24067
40163,10572
32262,7826
9474,5237
29147,13482
41781,10158
22743,24834
28047,25746
56013,19285
14706,25805
36989,6498
29059,21124
19213,4819
8863,19370
22973,8260
12304,8512
41017,20950
27960,18471
39418,6689
13335,13391
35071,18736
14792,16570
36325,9221
29171,20978
29059,7265
56196,8759
15257,4712
33254,13545
55608,2354
35276,13861
19136,18264
48455,16029
16765,25989
6163,8604
46087,25167
20083,16912
39483,13086
20158,19849
21508,11796
21575,15100
22095,7113
34706,24557
12648,14209
4602,14473
16413,5481
55002,11791
42622,27043
51953,12979
37912,25488
57276,9034
54270,17148
53358,19360
35360,12123
15357,22517
13181,19641
33805,7067
50242,5313
27908,24542
42496,27366
54189,20789
28818,26342
36382,26530
43453,24797
5120,18012
30692,7528
35717,9502
55099,24384
22503,17643
49472,14343
35078,4556
20875,16419
53401,10430
52387,9252
20827,13082
57158,22367
42178,6519
15278,15005
47848,22663
38864,12181
14531,19374
33664,14896
14782,7715
